problem,method,category,runs,all_cleared,mean_per_source_s,max_per_source_s,max_total_s,mean_commands
4,replacement22,uniform__adversarial-spatial,10,10,493.0770345666909,606.3125401818181,6775.411226,327.9
4,replacement22,uniform__iid,10,10,494.052530551168,670.286506090909,7373.151567,322.9
4,replacement22,uniform__smooth,10,10,483.7767701109436,673.578991,7409.368901,314.3
4,square45_conservative,boundary_outward,9,9,936.4913455320514,1179.5282905,11968.650912,661.6666666666666
4,square45_conservative,boundary_tangent,9,9,1018.391356623077,1316.9007634,14363.77415,674.1111111111111
4,square45_conservative,cluster_far20,9,9,871.0593630356839,1200.9255405,12009.255405,623.8888888888889
4,square45_conservative,clustered__adversarial-negative,10,10,825.279277654342,1152.315383,13317.607199,538.0
4,square45_conservative,clustered__adversarial-positive,10,10,818.5962592854775,1158.4830797272728,13117.080595,536.7
4,square45_conservative,clustered__adversarial-spatial,10,10,845.1257005899209,1221.9911399090909,13493.667592,531.3
4,square45_conservative,clustered__iid,10,10,822.3444345748874,1174.8176216363636,12922.993838,537.2
4,square45_conservative,clustered__smooth,10,10,835.6600845658262,1183.9078556363636,13641.257356,535.3
4,square45_conservative,edge__adversarial-negative,10,10,884.7975825515016,1120.1010847272728,12321.111932,624.2
4,square45_conservative,edge__adversarial-positive,10,10,888.8901744859895,1127.5945669999999,12403.540237,627.6
4,square45_conservative,edge__adversarial-spatial,10,10,890.781844879386,1131.6125391818182,12447.737931,606.5
4,square45_conservative,edge__iid,10,10,891.2029870491891,1152.6464429999999,12679.110873,621.5
4,square45_conservative,edge__smooth,10,10,890.850515961698,1128.086804909091,12408.954854,624.3
4,square45_conservative,near_collinear,9,9,1032.5183599256409,1299.3928326,13432.651742,682.3333333333334
4,square45_conservative,range_transition,9,9,985.3294636250001,1263.9297662000001,12639.297662,653.1111111111111
4,square45_conservative,uniform__adversarial-negative,10,10,902.9872051485914,1166.6646237272728,13081.056218,605.2
4,square45_conservative,uniform__adversarial-positive,10,10,909.5530650728628,1169.6271008181818,13045.411176,607.5
4,square45_conservative,uniform__adversarial-spatial,10,10,909.513739201526,1116.0715457272727,12929.666238,592.5
4,square45_conservative,uniform__iid,10,10,900.1246354535211,1146.2156935454545,13018.271896,605.7
4,square45_conservative,uniform__smooth,10,10,907.4603424914867,1163.1363503636364,13083.097414,606.5
