active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,0,13,12,133,1.0,,,base,0,0.025167999999999968,12,,5,6,False,,,,,False,,0,0,,19,0,,,118,range_area7,[],12153.650482723764,0,40.99123897655369,0.0,7,,,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.02519441698677838
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,0,13,12,133,1.0,,,base,0,0.02470300000000003,12,,5,6,False,,0,0,0,False,,0,0,,19,0,,,118,faithful_area7,[],12153.650482723764,0,40.99123897655369,0.0,7,,,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.024703208007849753
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,,12,10,136,1.0,,,,,0.022842999999999947,10,,2,4,False,,,,,,,0,,,17,0,,,122,area_return1_7,[],12540.003423868544,0,78.3020734411675,0.0,8,,,328.90006830000004,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3289.000683,,,True,0.02307587501127273
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,3,12,10,133,1.0,,,base,0,0.021902000000000088,10,,2,4,False,,,,,False,,0,0,,17,0,,,119,range_area7,[],12540.003423868544,0,78.3020734411675,0.0,8,,,327.2000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3272.000683,,,True,0.02192058297805488
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,2,12,10,134,1.0,,,base,0,0.021506999999999943,10,,2,4,False,,2,1,2,False,,0,0,,17,0,,,120,faithful_area7,[],12540.003423868544,0,78.3020734411675,0.0,8,,,327.7000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3277.000683,,,True,0.021539958019275218
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,,19,15,162,1.0,,,,,0.035049999999999915,15,,3,7,False,,,,,,,0,,,22,0,,,141,area_return1_7,[],12819.328505185638,0,112.15950215678339,0.0,12,,,232.2577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,128,3483.865701,,,True,0.0350885420339182
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,19,15,158,1.0,,,base,0,0.03555699999999995,15,,3,7,False,,,,,False,,0,0,,22,0,,,137,range_area7,[],12819.328505185638,0,112.15950215678339,0.0,12,,,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.03557141701458022
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,19,15,158,1.0,,,base,0,0.03424499999999997,15,,3,7,False,,4,0,4,False,,0,0,,22,0,,,137,faithful_area7,[],12819.328505185638,0,112.15950215678339,0.0,12,,,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.034266292001120746
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,,16,15,140,1.0,,,,,0.027417000000000025,15,,8,9,False,,,,,,,0,,,22,0,,,122,area_return1_7,[],13126.1345818081,0,43.08970576885116,0.0,7,,,228.2817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,111,3424.226916,,,True,0.027416791999712586
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,3,16,15,137,1.0,,,base,0,0.02755200000000002,15,,8,9,False,,,,,False,,0,0,,22,0,,,119,range_area7,[],13126.1345818081,0,43.08970576885116,0.0,7,,,227.0817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3406.226916,,,True,0.02760704094544053
