best_m,bound_kind,certified_optimal,comparison_budget,comparisons,delta_scores,full_scores,generated_candidates,initial_2opt_m,local_polishes,lower_bound_m,method,point_set,polish_enabled,raw_proposal_best_m,seed,shared_setup_s,stations,wall_s
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,immune,q3_triangle,True,30600.0,44,0.0010079580242745578,19,0.0010328330099582672
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,immune,q3_triangle,True,30600.0,45,0.0010037499596364796,19,0.0010284999734722078
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,immune,q3_triangle,True,30600.0,46,0.0010098330094479024,19,0.0010342499590478837
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,ant_colony,q3_triangle,True,30600.0,42,0.001024707977194339,19,0.0010626669973134995
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,ant_colony,q3_triangle,True,30600.0,43,0.0010212499764747918,19,0.0010528750135563314
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,ant_colony,q3_triangle,True,30600.0,44,0.0010078749619424343,19,0.001038083981256932
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,ant_colony,q3_triangle,True,30600.0,45,0.0010023340000770986,19,0.001032042026054114
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,ant_colony,q3_triangle,True,30600.0,46,0.001009874977171421,19,0.0010396660072728992
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,particle_swarm,q3_triangle,True,30600.0,42,0.0010041670175269246,19,0.0010292090009897947
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,particle_swarm,q3_triangle,True,30600.0,43,0.0010114169563166797,19,0.00103629200020805
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,particle_swarm,q3_triangle,True,30600.0,44,0.0010056250030174851,19,0.0010300829890184104
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,particle_swarm,q3_triangle,True,30600.0,45,0.0010203749989159405,19,0.001044957956764847
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,particle_swarm,q3_triangle,True,30600.0,46,0.0010114169563166797,19,0.0010359999723732471
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,fireworks,q3_triangle,True,30600.0,42,0.0010107919806614518,19,0.0010352499666623771
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,fireworks,q3_triangle,True,30600.0,43,0.0010012920247390866,19,0.0010252079810015857
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,fireworks,q3_triangle,True,30600.0,44,0.0009999579633586109,19,0.0010238329996354878
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,fireworks,q3_triangle,True,30600.0,45,0.0010003750212490559,19,0.0010242920252494514
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,fireworks,q3_triangle,True,30600.0,46,0.00100658304290846,19,0.0010306670446880162
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,iterated_search,q3_triangle,True,30600.0,42,0.0010108749847859144,19,0.0010352919925935566
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,iterated_search,q3_triangle,True,30600.0,43,0.0010105000110343099,19,0.0010348750511184335
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,iterated_search,q3_triangle,True,30600.0,44,0.0010084999958053231,19,0.0010323749738745391
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,iterated_search,q3_triangle,True,30600.0,45,0.0009940829477272928,19,0.001017790986225009
30600.0,(n-1) times minimum interstation distance,True,100000,1,0,1,0,30600.0,0,30599.999999999996,iterated_search,q3_triangle,True,30600.0,46,0.0010013749706558883,19,0.0010253340005874634
33588.92119797275,(n-1) times minimum interstation distance,False,100000,1,0,1,0,30424.73029949318,0,29699.99999999999,greedy,q4_triangle,True,30424.73029949318,42,0.00650408398360014,31,0.006550709018483758
29700.0,(n-1) times minimum interstation distance,True,100000,4961,4960,1,0,30424.73029949318,0,29699.99999999999,insertion_greedy,q4_triangle,True,30424.73029949318,42,0.006273333972785622,31,0.00767904199892655
