all_cleared,baseline_per_source_s,baseline_s,candidate_per_source_s,candidate_s,case_id,category,delta_s,method,seed,sources,split,task
True,653.3122478125,10452.995965,714.0905618125,11425.448989,uniform__adversarial-negative__56,uniform__adversarial-negative,972.4530240000004,greedy,56,16,ordinary,q4_active
True,1166.5098585,11665.098585,1263.5416093,12635.416093,edge__smooth__55,edge__smooth,970.3175080000001,greedy,55,10,ordinary,q4_active
True,958.0361170833334,11496.433405,1037.1165469999999,12445.398564,uniform__adversarial-spatial__52,uniform__adversarial-spatial,948.9651589999994,insertion_greedy,52,12,ordinary,q4_conservative
True,1028.2704345,12339.245214,1105.53682675,13266.441921,uniform__smooth__52,uniform__smooth,927.1967069999992,adaptive_two_opt,52,12,ordinary,q4_active
True,686.8346643125,10989.354629,744.603798125,11913.66077,uniform__adversarial-spatial__56,uniform__adversarial-spatial,924.3061410000009,genetic,56,16,ordinary,q4_active
True,533.1585735625,8530.537177,590.296299375,9444.74079,uniform__adversarial-positive__56,uniform__adversarial-positive,914.2036129999997,insertion_greedy,56,16,ordinary,q3_active
True,847.6154152142857,11866.615813,912.5500451428571,12775.700632,uniform__iid__53,uniform__iid,909.0848189999997,ant_colony,53,14,ordinary,q4_active
True,843.8400869999999,11813.761218,908.7424993571428,12722.394991,uniform__adversarial-spatial__53,uniform__adversarial-spatial,908.6337729999996,ant_colony,53,14,ordinary,q4_active
True,800.642449,12810.279184,857.339140125,13717.426242,boundary_outward_min__n16__spatial,boundary_outward_min,907.1470579999987,adaptive_greedy,147,16,stress,q4_active
True,1173.0459123,11730.459123,1263.6792059,12636.792059,edge__adversarial-negative__55,edge__adversarial-negative,906.3329359999989,greedy,55,10,ordinary,q4_active
True,653.2213729375,10451.541967,709.8554008125,11357.686413,uniform__iid__56,uniform__iid,906.1444460000002,genetic,56,16,ordinary,q4_active
True,594.8157125,9517.0514,651.3967414375,10422.347863,clustered__adversarial-negative__56,clustered__adversarial-negative,905.2964630000006,particle_swarm,56,16,ordinary,q4_active
True,1249.6079475000001,12496.079475,1339.3203002,13393.203002,clustered__adversarial-spatial__55,clustered__adversarial-spatial,897.1235269999997,greedy,55,10,ordinary,q4_active
True,1093.0825975454545,12023.908573,1174.348055090909,12917.828606,edge__smooth__54,edge__smooth,893.9200329999985,insertion_greedy,54,11,ordinary,q4_conservative
True,987.96438425,11855.572611,1062.41426075,12748.971129,uniform__adversarial-spatial__52,uniform__adversarial-spatial,893.398518,adaptive_two_opt,52,12,ordinary,q4_active
True,843.9391564285714,11815.14819,907.5721297857143,12706.009817,uniform__adversarial-positive__53,uniform__adversarial-positive,890.8616270000002,insertion_greedy,53,14,ordinary,q4_conservative
True,862.1834857142857,12070.5688,925.7464392857144,12960.45015,uniform__smooth__53,uniform__smooth,889.8813500000015,insertion_greedy,53,14,ordinary,q4_conservative
True,1024.5013775,10245.013775,1112.8418775,11128.418775,boundary_outward_min__n10__positive,boundary_outward_min,883.4050000000007,insertion_greedy,142,10,stress,q4_active
True,1125.7655148,11257.655148,1213.9282115,12139.282115,edge__adversarial-spatial__55,edge__adversarial-spatial,881.6269670000001,greedy,55,10,ordinary,q4_active
True,931.3909060833333,11176.690873,1004.8119393333333,12057.743272,edge__smooth__52,edge__smooth,881.0523990000002,greedy,52,12,ordinary,q4_conservative
True,1275.3213326,12753.213326,1363.3559151,13633.559151,clustered__iid__55,clustered__iid,880.3458250000003,greedy,55,10,ordinary,q4_active
True,888.265111,10659.181332,961.53938125,11538.472575,clustered__iid__52,clustered__iid,879.2912429999997,greedy,52,12,ordinary,q4_active
True,881.5889181666666,10579.067018,954.6612889166666,11455.935467,clustered__smooth__52,clustered__smooth,876.8684489999996,greedy,52,12,ordinary,q4_active
True,886.8231620833334,10641.877945,959.8945633333333,11518.73476,clustered__adversarial-positive__52,clustered__adversarial-positive,876.8568149999992,greedy,52,12,ordinary,q4_active
True,882.9504276666667,10595.405132,955.9580698333333,11471.496838,clustered__adversarial-negative__52,clustered__adversarial-negative,876.0917059999992,greedy,52,12,ordinary,q4_active
True,886.8231620833334,10641.877945,959.8271928333334,11517.926314,clustered__adversarial-positive__52,clustered__adversarial-positive,876.0483690000001,insertion_greedy,52,12,ordinary,q4_active
True,900.57053575,10806.846429,973.5622311666666,11682.746774,clustered__adversarial-spatial__52,clustered__adversarial-spatial,875.900345,greedy,52,12,ordinary,q4_active
True,826.8994979285715,11576.592971,889.176531,12448.471434,uniform__adversarial-negative__53,uniform__adversarial-negative,871.8784629999991,particle_swarm,53,14,ordinary,q4_active
True,878.8850455454544,9667.735501,957.5390723636364,10532.929796,edge__adversarial-positive__54,edge__adversarial-positive,865.1942950000011,adaptive_greedy,54,11,ordinary,q3_active
True,882.4188369090909,9706.607206,960.706738,10567.774118,edge__adversarial-spatial__54,edge__adversarial-spatial,861.1669119999988,adaptive_greedy,54,11,ordinary,q3_active
True,1199.3403008,11993.403008,1285.4254808,12854.254808,clustered__adversarial-positive__55,clustered__adversarial-positive,860.8518000000004,greedy,55,10,ordinary,q4_active
True,900.57053575,10806.846429,972.1766754166666,11666.120105,clustered__adversarial-spatial__52,clustered__adversarial-spatial,859.2736760000007,insertion_greedy,52,12,ordinary,q4_active
True,599.071614125,9585.145826,652.2933251875,10436.693203,clustered__smooth__56,clustered__smooth,851.5473770000008,particle_swarm,56,16,ordinary,q4_active
True,829.6769353571428,11615.477095,890.4554935,12466.376909,uniform__smooth__53,uniform__smooth,850.8998140000003,ant_colony,53,14,ordinary,q4_active
True,845.3741747142857,11835.238446,905.9395117142857,12683.153164,uniform__adversarial-negative__53,uniform__adversarial-negative,847.914718,insertion_greedy,53,14,ordinary,q4_conservative
True,826.8994979285715,11576.592971,887.2752605714286,12421.853648,uniform__adversarial-negative__53,uniform__adversarial-negative,845.2606770000002,genetic,53,14,ordinary,q4_active
True,899.4359961818183,9893.795958,975.0652180000001,10725.717398,uniform__adversarial-positive__54,uniform__adversarial-positive,831.9214400000001,adaptive_greedy,54,11,ordinary,q3_active
True,892.8201138181819,9821.021252,968.143128,10649.574408,uniform__iid__54,uniform__iid,828.553156,adaptive_greedy,54,11,ordinary,q3_active
True,895.1090879090909,9846.199967,970.3787843636364,10674.166628,uniform__adversarial-spatial__54,uniform__adversarial-spatial,827.9666610000004,adaptive_greedy,54,11,ordinary,q3_active
True,708.6671693125,11338.674709,760.1058904375,12161.694247,edge__adversarial-spatial__56,edge__adversarial-spatial,823.0195379999986,fireworks,56,16,ordinary,q4_active
True,1208.4021334,12084.021334,1289.2234574,12892.234574,uniform__iid__55,uniform__iid,808.213240000001,insertion_greedy,55,10,ordinary,q4_conservative
True,686.50502,10984.08032,736.52877275,11784.460364,edge__adversarial-negative__56,edge__adversarial-negative,800.3800440000014,insertion_greedy,56,16,ordinary,q4_active
True,1125.7655148,11257.655148,1205.5269211999998,12055.269212,edge__adversarial-spatial__55,edge__adversarial-spatial,797.6140639999994,immune,55,10,ordinary,q4_active
True,1215.3530827,12153.530827,1294.4525156,12944.525156,uniform__adversarial-spatial__55,uniform__adversarial-spatial,790.9943289999992,insertion_greedy,55,10,ordinary,q4_conservative
